name,height,wingspan,length,slug,id
Mo Bamba,211.45,238.76,10.75,bamba-mo,940810
Talen Horton-Tucker,189.23,216.53,10.75,talen-horton-tucker,987343
Jalen Williams,194.31,219.08,9.75,williams-jalen,1178085
Robert Williams III,203.2,227.33,9.5,williams-robert,940756
Isaiah Stewart,201.3,225.43,9.5,isaiah-stewart,1092901
Udoka Azubuike,208.28,231.78,9.25,azubuike-udoka,1092867
Montrezl Harrell,200.66,224.16,9.25,montrezl-harrell,817136
Josh Okogie,190.5,213.36,9,okogie-josh,940774
Kawhi Leonard,198.12,220.98,9,kawhi-leonard,817229
Frank Ntilikina,193.04,215.9,9,frank-ntilikina,885224
Nassir Little,194.31,216.53,8.75,little-nassir,988678
Reggie Jackson,189.23,211.46,8.75,jackson-reggie,817180
Donovan Mitchell,186.06,208.28,8.75,donovan-mitchell,885252
Andre Drummond,207.65,229.24,8.5,drummond-andre,817069
Kelly Oubre Jr.,197.49,219.08,8.5,oubre-jr-kelly,817307
Wendell Moore Jr.,193.68,215.27,8.5,wendell-moore,1181226
Thomas Bryant,207.01,228.6,8.5,thomas-bryant,885216
Shake Milton,194.31,215.27,8.25,shake-milton,940777
Oscar Tshiebwe,201.3,222.25,8.25,tshiebwe-oscar,1178811
Jerami Grant,199.39,220.34,8.25,grant-jerami,817119
Moses Moody,194.31,215.27,8.25,moses-moody,1132134
Anthony Davis,206.38,227.33,8.25,anthony-davis,817054
Jarrett Allen,205.74,226.69,8.25,jarrett-allen,885222
DeAndre Jordan,207.65,228.6,8.25,jordan-deandre,817205
Jordan Walsh,197.49,217.81,8,walsh-jordan,1458572
Rudy Gobert,214.63,234.95,8,gobert-rudy,817111
Keyontae Johnson,193.04,213.36,8,johnson-keyontae,1179400
Chris Boucher,203.2,223.52,8,chris-boucher,905844
P.J. Washington,199.39,219.71,8,pj-washington,987613
Victor Wembanyama,223.52,243.84,8,wembanyama-victor,998725
OG Anunoby,198.75,219.08,8,og-anunoby,885250
Jarace Walker,199.39,219.71,8,walker-jarace,1430972
Brandon Ingram,200.66,220.98,8,ingram-brandon,846926
Keita Bates-Diop,201.3,221.62,8,bates-diop-keita,940809
Kevin Durant,205.74,225.43,7.75,durant-kevin,817074
Wendell Carter Jr.,205.1,224.79,7.75,wendell-carter-jr,940800
Norman Powell,190.5,210.19,7.75,norman-powell,817332
Terry Rozier,184.15,203.84,7.75,terry-rozier,817353
Aaron Holiday,182.25,201.93,7.75,holiday-aaron,940789
Ryan Rollins,187.96,207.65,7.75,ryan-rollins,1178910
Miles McBride,185.42,205.1,7.75,miles-mcbride,1133771
Scottie Barnes,200.66,220.34,7.75,scottie-barnes,1133784
MarJon Beauchamp,196.22,215.27,7.5,beauchamp-marjon,1206073
Robert Covington,198.75,217.81,7.5,covington-robert,817044
Kevon Looney,203.2,222.25,7.5,kevon-looney,817235
Bones Hyland,187.96,207.01,7.5,bones-hyland,1133811
Draymond Green,197.49,216.53,7.5,draymond-green,817122
Taj Gibson,204.47,223.52,7.5,taj-gibson,817109
Jaren Jackson Jr.,207.65,226.69,7.5,jackson-jr-jaren,940785
Kyle Anderson,201.93,220.34,7.25,anderson-kyle,816958
Tari Eason,200.03,218.44,7.25,eason-tari,1178696
Shaedon Sharpe,193.68,212.09,7.25,sharpe-shaedon,1178822
Jordan Miller,194.31,212.72,7.25,miller-jordan,1179642
Marcus Smart,187.96,206.38,7.25,smart-marcus,817375
Mikal Bridges,197.49,215.9,7.25,bridges-mikal,940807
Eric Gordon,187.96,205.74,7,gordon-eric,817115
Naji Marshall,197.49,215.27,7,naji-marshall,1093316
P.J. Tucker,194.31,212.09,7,pj-tucker,817412
Haywood Highsmith,195.58,212.09,7,haywood-highsmith,972549
Pascal Siakam,203.84,221.62,7,pascal-siakam,846971
De'Andre Hunter,200.66,218.44,7,deandre-hunter,988300
Deandre Ayton,210.82,228.6,7,ayton-deandre,940812
Eugene Omoruyi,198.12,216.53,7,eugene-omoruyi,1133924
Saben Lee,187.96,205.74,7,lee-saben,1092952
Scoot Henderson,187.96,205.74,7,henderson-scoot,1206071
Vince Williams Jr.,193.04,210.82,7,williams-vince,1178858
Anfernee Simons,188.59,206.38,7,simons-anfernee,940767
David Roddy,194.31,212.09,7,roddy-david,1178033
Shai Gilgeous-Alexander,194.31,212.09,7,gilgeous-alexander-shai,940794
Isaiah Mobley,203.2,220.98,7,isaiah-mobley,1178134
JaVale McGee,210.82,228.6,7,mcgee-javale,817258
Charles Bassey,205.74,222.25,7,charles-bassey,1133907
Terry Taylor,194.94,212.09,6.75,taylor-terry,1133928
Thanasis Antetokounmpo,196.22,213.36,6.75,antetokounmpo-thanasis,816961
Dalen Terry,198.12,215.27,6.75,terry-dalen,1181319
Lonnie Walker IV,192.41,209.55,6.75,lonnie-walker-iv,940758
Collin Sexton,184.15,201.3,6.75,collin-sexton,940769
Dennis Schroder,185.42,202.56,6.75,schroder-dennis,817361
Malcolm Brogdon,192.41,209.55,6.75,brogdon-malcolm,846931
James Harden,193.04,210.19,6.75,james-harden,817133
Mike Conley,180.34,197.49,6.75,mike-conley,817038
Ayo Dosunmu,191.77,208.91,6.75,dosunmu-ayo,1133911
Jalen Duren,208.91,226.06,6.75,jalen-duren,1179838
JT Thor,204.47,221.62,6.75,jt-thor,1134020
Trendon Watford,201.93,219.08,6.75,trendon-watford,1133800
Naz Reid,205.1,221.62,6.5,naz-reid,1000618
Patrick Beverley,184.15,200.66,6.5,beverley-patrick,816989
Derrick Rose,186.69,203.2,6.5,rose-derrick,817351
D'Angelo Russell,191.13,207.65,6.5,dangelo-russell,817357
Jaylen Brown,196.22,212.72,6.5,jaylen-brown,846898
Bruno Fernando,205.1,221.62,6.5,fernando-bruno,989078
Xavier Tillman,201.93,218.44,6.5,tillman-xavier,1092873
Cameron Payne,184.78,201.3,6.5,payne-cameron,817317
Christian Koloko,210.19,226.69,6.5,christian-koloko,1181314
Clint Capela,208.28,224.79,6.5,clint-capela,817022
Mark Williams,213.36,229.87,6.5,mark-williams,1181229
Matisse Thybulle,195.58,212.09,6.5,thybulle-matisse,989085
Nikola Vucevic,208.91,224.79,6.25,vucevic-nikola,817423
E.J. Liddell,196.85,212.72,6.25,liddell-ej,1179602
Cade Cunningham,198.12,214.0,6.25,cade-cunningham,1133854
Brook Lopez,211.46,227.33,6.25,lopez-brook,817236
Rui Hachimura,202.56,218.44,6.25,rui-hachimura,988788
Olivier-Maxence Prosper,200.03,215.9,6.25,prosper-olivier-maxence,1179062
Bol Bol,215.27,231.14,6.25,bol-bol,987099
Ausar Thompson,197.49,213.36,6.25,thompson-ausar,1507964
Dominick Barlow,205.1,220.98,6.25,dominick-barlow,1387556
Amen Thompson,197.49,213.36,6.25,thompson-amen,1507963
Jeff Green,200.66,216.53,6.25,green-jeff,817126
Blake Wesley,190.5,206.38,6.25,blake-wesley,1179467
Myles Turner,207.65,223.52,6.25,turner-myles,817414
Immanuel Quickley,187.96,203.84,6.25,immanuel-quickley,1092912
Caleb Martin,193.04,208.91,6.25,caleb-martin,990763
De'Anthony Melton,188.59,204.47,6.25,melton-deanthony,940779
Herbert Jones,198.12,214.0,6.25,herbert-jones,1133919
Markelle Fultz,190.5,205.74,6,markelle-fultz,885237
Nathan Knight,203.2,218.44,6,nathan-knight,1092948
Victor Oladipo,191.13,206.38,6,oladipo-victor,817305
Bam Adebayo,205.1,220.34,6,bam-adebayo,885218
AJ Griffin,196.85,212.09,6,aj-griffin,1181233
JD Davison,184.15,199.39,6,jd-davison,1179998
Cason Wallace,189.23,204.47,6,wallace-cason,1458358
Dereck Lively II,215.9,231.14,6,lively-dereck,1430916
Jonas Valanciunas,210.82,226.06,6,valanciunas-jonas,817417
Cam Reddish,199.39,214.63,6,cam-reddish,987931
Josh Christopher,191.13,206.38,6,josh-christopher,1133853
Gary Payton II,187.96,203.2,6,gary-payton-ii,855982
Boban Marjanovic,223.52,238.76,6,marjanovic-boban,817244
Robin Lopez,212.09,227.33,6,lopez-robin,817237
Justin Holiday,196.85,212.09,6,holiday-justin,817160
Chet Holmgren,213.36,228.6,6,holmgren-chet,1181394
Anthony Edwards,190.5,205.74,6,edwards-anthony,1092929
Damian Lillard,187.32,202.56,6,lillard-damian,817232
Ricky Rubio,190.5,205.74,6,ricky-rubio,817354
Usman Garuba,203.2,218.44,6,garuba-usman,905364
Devonte' Graham,183.52,198.75,6,devonte-graham,940793
Larry Nance Jr.,201.93,217.17,6,larry-nance-jr,817288
Derrick Jones Jr.,198.12,213.36,6,jones-derrick,855985
Christian Wood,206.38,221.62,6,christian-wood,817455
Dejounte Murray,193.04,208.28,6,dejounte-murray,846964
Malaki Branham,193.04,208.28,6,malaki-branham,1179607
Orlando Robinson,208.28,223.52,6,orlando-robinson,1182314
Kris Dunn,190.5,205.74,6,kris-dunn,846933
Jalen Hood-Schifino,193.68,208.91,6,hood-schifino-jalen,1433947
Otto Porter Jr.,201.93,217.17,6,otto-porter-jr,817328
Ochai Agbaji,194.31,208.91,5.75,ochai-agbaji,1182725
Maxwell Lewis,198.75,213.36,5.75,lewis-maxwell,1181769
Thaddeus Young,197.49,212.09,5.75,thaddeus-young,817463
Onyeka Okongwu,203.84,218.44,5.75,onyeka-okongwu,1092036
Luguentz Dort,189.87,204.47,5.75,dort-luguentz,989021
Bruce Brown,191.13,205.74,5.75,brown-bruce,940805
Peyton Watson,200.03,214.63,5.75,watson-peyton,1178030
TyTy Washington Jr.,188.59,203.2,5.75,washington-tyty,1178819
Marcus Sasser,186.06,200.66,5.75,sasser-marcus,1179506
Steven Adams,210.19,224.79,5.75,adams-steven,816938
Russell Westbrook,188.59,202.56,5.5,russell-westbrook,817437
Neemias Queta,210.19,224.16,5.5,neemias-queta,1132138
Jaden Ivey,191.77,205.74,5.5,jaden-ivey,1178370
Jordan McLaughlin,180.34,194.31,5.5,jordan-mclaughlin,951089
Damian Jones,208.91,222.88,5.5,damian-jones,846919
Bogdan Bogdanovic,196.85,210.82,5.5,bogdanovic-bogdan,905908
Jaden Hardy,191.77,205.74,5.5,hardy-jaden,1206072
Buddy Hield,192.41,206.38,5.5,hield-buddy,846905
Toumani Camara,200.66,214.63,5.5,camara-toumani,1179735
James Wiseman,212.09,226.06,5.5,james-wiseman,1092884
Cody Martin,194.94,208.91,5.5,cody-martin,989016
Precious Achiuwa,201.93,215.27,5.25,precious-achiuwa,1092863
Moussa Diabate,206.38,219.71,5.25,moussa-diabate,1178443
Jaxson Hayes,208.91,222.25,5.25,jaxson-hayes,987100
Daniel Gafford,206.38,219.71,5.25,daniel-gafford,989026
Josh Green,194.31,207.65,5.25,green-josh,1092940
Aaron Wiggins,194.31,207.65,5.25,wiggins-aaron,1133815
Dorian Finney-Smith,199.39,212.72,5.25,dorian-finney-smith,846909
Joshua Primo,193.04,206.38,5.25,joshua-primo,1133157
Jalen Pickett,187.96,201.3,5.25,pickett-jalen,1178425
Obi Toppin,205.1,218.44,5.25,toppin-obi,1092877
Nickeil Alexander-Walker,193.68,207.01,5.25,alexander-walker-nickeil,988994
Richaun Holmes,203.84,217.17,5.25,holmes-richaun,817163
Joel Embiid,212.72,226.06,5.25,embiid-joel,817081
Mouhamed Gueye,208.91,221.62,5,gueye-mouhamed,1181310
Kenneth Lofton Jr.,198.12,210.82,5,lofton-kenneth,1181091
Colin Castleton,210.82,222.25,5,castleton-colin,1179398
Evan Mobley,210.82,223.52,5,evan-mobley,1133830
Tyrese Maxey,187.96,200.66,5,maxey-tyrese,1092926
Chuma Okeke,200.66,213.36,5,chuma-okeke,987103
Royce O'Neale,193.04,205.74,5,royce-oneale,905919
RJ Barrett,195.58,208.28,5,barrett-rj,988995
Jaylen Clark,193.04,205.74,5,clark-jaylen,1178026
Brice Sensabaugh,198.12,210.82,5,sensabaugh-brice,1436499
Devin Vassell,195.58,208.28,5,devin-vassell,1092880
Aaron Nesmith,195.58,208.28,5,nesmith-aaron,1092913
Jericho Sims,208.28,220.98,5,jericho-sims,1133798
