player_id,team,secondsPlayed,points,twoPointsMade,twoPointAttempts,threePointsMade,threePointAttempts,freeThrowsMade,freeThrowAttempts,fieldGoalsMade,fieldGoalAttempts,rebounds,defensiveRebounds,offensiveRebounds,turnovers,blocks,personalFouls,assists,steals,fieldGoalsPercentage,freeThrowsPercentage,threePointsPercentage,twoPointsPercentage
940810,Philadelphia 76ers,46106,323,69,117,48,124,41,62,117,241,225,167,58,30,43,105,46,13,48.55,66.13,38.71,58.97
987343,Utah Jazz,78793,698,199,410,58,203,126,168,257,613,210,169,41,126,29,108,246,41,41.92,75.0,28.57,48.54
1178085,Oklahoma City Thunder,136530,1056,341,589,73,205,155,191,414,794,337,253,84,123,35,191,248,103,52.14,81.15,35.61,57.89
940756,Portland Trail Blazers,49415,279,127,169,0,1,25,41,127,170,292,188,104,34,48,68,50,22,74.71,60.98,,75.15
1092901,Detroit Pistons,84840,567,128,236,67,205,110,149,195,441,403,288,115,68,34,133,70,20,44.22,73.83,32.68,54.24
1092867,Phoenix Suns,21512,125,59,72,0,0,7,20,59,72,119,88,31,18,15,34,11,6,81.94,35.0,,81.94
817136,Philadelphia 76ers,40860,320,125,203,0,6,70,101,125,209,159,92,67,35,25,75,33,17,59.81,69.31,,61.58
940774,Phoenix Suns,81029,529,96,217,66,197,139,192,162,414,251,142,109,63,34,114,105,56,39.13,72.4,33.5,44.24
817229,Los Angeles Clippers,104857,1239,342,621,104,250,243,279,446,871,338,281,57,88,28,84,204,72,51.21,87.1,41.6,55.07
885224,Charlotte Hornets,36448,135,31,65,17,67,22,33,48,132,62,55,7,29,7,65,58,16,36.36,66.67,25.37,47.69
988678,Phoenix Suns,58561,359,76,145,58,158,33,46,134,303,141,114,27,36,20,66,50,20,44.22,71.74,36.71,52.41
817180,Denver Nuggets,99414,693,167,352,96,288,71,78,263,640,144,119,25,115,6,114,233,47,41.09,91.03,33.33,47.44
885252,Cleveland Cavaliers,145938,1922,434,767,245,635,319,368,679,1402,289,226,63,180,27,168,301,99,48.43,86.68,38.58,56.58
817069,Chicago Bulls,50961,399,166,271,0,3,67,125,166,274,444,306,138,75,27,117,33,45,60.58,53.6,,61.25
817307,Philadelphia 76ers,92852,972,245,480,108,339,158,208,353,819,249,184,65,64,18,141,54,68,43.1,75.96,31.86,51.04
1181226,Minnesota Timberwolves,9159,42,16,26,2,17,4,5,18,43,18,14,4,8,5,13,18,8,41.86,80.0,11.76,61.54
885216,Miami Heat,64888,579,204,310,26,59,93,126,230,369,339,253,86,38,30,102,31,16,62.33,73.81,44.07,65.81
940777,Minnesota Timberwolves,94037,637,185,355,56,148,99,116,241,503,191,152,39,94,13,123,240,25,47.91,85.34,37.84,52.11
1178811,Indiana Pacers,,,,,,,,,,,,,,,,,,,,,,
817119,Portland Trail Blazers,134732,1290,290,554,144,359,278,342,434,913,283,230,53,116,53,152,150,51,47.54,81.29,40.11,52.35
1132134,Golden State Warriors,49027,302,59,92,49,135,37,53,108,227,105,77,28,34,7,54,51,18,47.58,69.81,36.3,64.13
817054,Los Angeles Lakers,114269,1451,523,888,19,74,348,444,542,962,702,507,195,122,114,146,148,59,56.34,78.38,25.68,58.9
